text1,text2,label
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.","Cyber security protects systems, networks, and programs from digital attacks.",1
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
"Cyber security protects systems, networks, and programs from digital attacks.","Cyber security protects systems, networks, and programs from digital attacks.",1
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
"Cyber security protects systems, networks, and programs from digital attacks.","Cyber security protects systems, networks, and programs from digital attacks.",1
Machine learning is a field of artificial intelligence that uses statistical techniques.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.","Cyber security protects systems, networks, and programs from digital attacks.",1
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Cloud computing provides scalable resources over the internet.,Cloud computing offers scalable resources over the internet.,1
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Machine learning is a field of artificial intelligence that uses statistical techniques.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.","Cyber security protects systems, networks, and programs from digital attacks.",1
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Machine learning is a field of artificial intelligence that uses statistical techniques.,Machine learning is a field of artificial intelligence that applies statistical techniques.,1
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
"Cyber security protects systems, networks, and programs from digital attacks.",This sentence talks about a completely different topic.,0
Natural language processing enables computers to understand human language.,Natural language processing enables computers to understand human language.,1
Natural language processing enables computers to understand human language.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,This sentence talks about a completely different topic.,0
Data science involves extracting knowledge from structured and unstructured data.,Data science focuses on extracting knowledge from structured and unstructured data.,1
Cloud computing provides scalable resources over the internet.,This sentence talks about a completely different topic.,0
